X,Y,OBJECTID_1,objectid,status,arc_street,gis_id,camtype,camid,uid_no,siteno,quadrant,disttno,yrmnth,location,city,status_1,logno,hprtlocati,site_vst_d,comappdate,schllocati,vendname,n_site_id,depl_id,post_spd,tigr_spd,batry_mont,lanes,dplmt_dat,map_final,contact,email,f2ndemail,editedby,GlobalID
1418591.13493275,602314.447627115,1,1, , ,5140,Portable,0, ,0,2,12,0,500 blk West 28th Street EB,Baltimore,Final, , ,,,Career Academy, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,5f18e0e6-fc59-47ba-9cc2-751639fbdee4
1419584.05757296,607552.388420521,2,2, , ,5141,Portable,0, ,0,2,14,0,100 Blk W. University Parkway EB,Baltimore,Final, , ,,,Hampden Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,eeb99ad9-129b-42cc-911b-4046abb5c728
1419755.69883264,607546.939935667,3,3, , ,5142,Portable,0, ,0,2,14,0,100 Blk W. University Parkway WB,Baltimore,Final, , ,,,Hampden Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,dd6f9076-b83a-4be1-88e2-9bb69ae75428
1400459.08179483,617885.929900421,4,4, , ,5143,Portable,0, ,0,2,5,0,6100 blk Cross Country Blvd EB,Baltimore,Final, , ,,,Cross Country Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,729df9b9-191a-4ed6-bd94-42bcd0cdb11d
1400655.71205782,617858.774249651,5,5, , ,5144,Portable,0, ,0,2,5,0,6100 blk Cross Country Blvd WB,Baltimore,Final, , ,,,Cross Country Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,e9d9e082-e5fa-4698-82af-0a030f4f8f24
1394609.37235787,591919.274978983,6,6, , ,5145,Portable,0, ,0,3,8,0,5100 blk Baltimore National Pike EB,Baltimore,Final, , ,,,North Bend Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,fb09d4ac-17d0-4257-b91c-d5881088c18b
1394638.56983716,592025.17974114,7,7, , ,5146,Portable,0, ,0,3,8,0,5100 blk Baltimore National Pike WB,Baltimore,Final, , ,,,North Bend Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,075da73b-677b-4f23-acf0-e785c88901c9
1407513.23446203,600364.415652203,8,8,T,Gwynns Falls Pkwy & N Dukeland St,5007,Portable,2, ,2006,2,7,1702,2700 blk Gywnns Falls Pkwy WB,Baltimore,Final,2-2006-2-7-1702, ,2017/04/20 00:00:00+00,2017/06/02 00:00:00+00,Gwynns Falls Elementary School, ,BAP006,BALP006,25,37, ,2,2017/06/17 00:00:00+00,YES,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,0d1efe3e-b20b-4390-8ce8-cd92792a4ae4
1437810.49959858,616398.437528762,9,9,T,NB  Harford Rd & Christopher Ave,5013,Portable,2, ,2012,1,3,1702,6100 Blk Harford Rd NB                                 ,Baltimore,Final,2-2012-1-3-1702, ,2017/04/20 00:00:00+00,2017/05/08 00:00:00+00,Hamilton Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,a718dcab-8dcb-4431-ae8c-3842e347ae41
1435060.8746494,599541.624914871,10,10,T,Erdman Ave & Sinclair Ln,5022,Portable,2, ,2021,1,13,1702,4300 blk Erdman Ave NB,Baltimore,Final,2-2021-1-13-1702, ,2017/04/20 00:00:00+00,,Archbishop Curley High School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang,f900ce08-febc-4a3b-b77b-f3fc26befe6a
